policy_id,customer_id,customer_age,customer_gender,marital_status,num_dependents,country,income_band,product_type,coverage_amount,premium,payment_frequency,policy_start_date,policy_end_date,tenure_months,renewal_count,acquisition_channel,agent_id,discount_applied,discount_rate,has_rider,num_riders,critical_illness_rider,disability_rider,late_payment_count,customer_service_calls,beneficiary_updated,premium_change_pct,churned,churn_reason,snapshot_date,data_version
P000010,C002135,42,F,Married,2,US,,Whole,76000.0,84.74,Monthly,2014-05-04,,123,10,Online,,False,,False,0,False,False,0,0,False,0.05,False,,2024-06-30,v1.0
P000011,C002919,54,M,Divorced,3,US,Low,Term,74000.0,61.44,Quarterly,2018-07-16,2027-06-29,109,9,Agent,A1031,True,0.14,False,0,False,False,0,1,False,0.09,True,Price,2024-06-30,v1.0
P000012,C000130,50,M,Married,0,US,High,Term,318000.0,195.7,Annual,2018-09-08,,70,5,Online,,False,,False,0,False,False,1,0,False,-0.06,False,,2024-06-30,v1.0
P000013,C001685,36,F,Single,1,US,Mid,Term,205000.0,200.5,Monthly,2015-05-01,,111,9,Employer,,True,0.21,False,0,False,False,0,2,False,0.08,False,,2024-06-30,v1.0
P000014,C000769,47,M,Married,1,IT,High,Whole,206000.0,345.66,Monthly,2017-03-30,,88,7,Agent,A1048,False,,True,1,False,False,1,0,False,-0.01,False,,2024-06-30,v1.0
P000015,C002391,22,M,Married,0,UK,Mid,Term,360000.0,260.45,Quarterly,2019-08-01,,59,4,Online,,True,0.19,False,0,False,False,0,1,False,0.03,False,,2024-06-30,v1.0
P000016,C001515,52,M,Married,1,DE,High,Whole,201000.0,249.3,Monthly,2022-04-25,,26,2,Bank,,False,,True,4,False,False,2,0,True,0.06,False,,2024-06-30,v1.0
P000017,C002853,48,F,Widowed,1,US,Low,Whole,344000.0,373.7,Quarterly,2014-11-08,,117,9,Online,,False,,True,1,False,True,1,1,False,-0.02,False,,2024-06-30,v1.0
P000018,C002433,52,F,Married,0,US,Mid,Universal,146000.0,171.01,Monthly,2018-05-04,,74,6,Agent,A1037,False,,True,3,False,False,0,0,False,-0.03,False,,2024-06-30,v1.0
P000019,C001215,57,U,Single,1,US,High,Universal,156000.0,151.11,Annual,2017-02-08,,89,7,Agent,A1035,False,,True,1,False,False,0,0,False,0.22,False,,2024-06-30,v1.0
P000020,C000955,49,M,Divorced,1,US,Low,Whole,1893000.0,2346.56,Monthly,2019-04-11,,63,5,Online,,True,0.17,True,1,False,False,1,0,False,0.05,False,,2024-06-30,v1.0
P000021,C002324,46,F,Single,1,UK,Low,Whole,129000.0,120.66,Annual,2010-08-25,,168,14,Agent,A1098,False,,False,0,False,False,1,1,False,0.01,False,,2024-06-30,v1.0
P000022,C001184,34,F,Single,4,IT,Ultra,Term,221000.0,116.41,Annual,2023-07-31,,11,0,Agent,A1025,True,0.18,False,0,False,False,0,2,False,0.11,False,,2024-06-30,v1.0
P000023,C000459,36,M,Married,2,US,Ultra,Whole,304000.0,470.23,Monthly,2023-07-09,,11,0,Agent,A1047,False,,False,0,False,False,0,0,True,-0.02,False,,2024-06-30,v1.0
P000024,C000021,59,F,Divorced,1,UK,High,Term,335000.0,192.59,Quarterly,2019-08-02,,59,4,Bank,,False,,False,0,False,False,0,0,True,0.01,False,,2024-06-30,v1.0
P000025,C002300,62,M,Married,0,US,Mid,Term,143000.0,98.99,Monthly,2022-02-12,2026-05-22,52,4,Bank,,True,0.21,False,0,False,False,0,0,False,0.11,True,Price,2024-06-30,v1.0
P000026,C000747,42,M,Single,0,US,Mid,Whole,852000.0,1141.72,Monthly,2011-04-04,,161,13,Agent,A1071,True,0.06,False,0,False,False,0,1,True,-0.14,False,,2024-06-30,v1.0
P000027,C002904,45,M,Married,0,US,Low,Term,117000.0,101.88,Monthly,2014-07-31,2015-11-23,16,1,Bank,,False,,False,0,False,False,0,1,True,-0.02,True,Life Event,2024-06-30,v1.0
P000028,C000474,34,M,Single,4,DE,,Term,110000.0,88.26,Monthly,2010-07-04,2019-12-14,115,9,Online,,False,,True,1,False,True,0,1,False,-0.08,True,Unknown,2024-06-30,v1.0
P000029,C001082,59,F,Single,2,US,Mid,Term,271000.0,141.01,Annual,2023-12-16,,6,0,Online,,False,,False,0,False,False,1,0,False,0.19,False,,2024-06-30,v1.0
P000030,C002558,52,M,Single,0,US,Low,Universal,355000.0,361.43,Monthly,2021-06-09,2027-03-10,70,5,Agent,A1038,False,,False,0,False,False,0,0,True,0.11,True,Price,2024-06-30,v1.0
P000031,C002047,68,M,Married,1,UK,Mid,Term,63000.0,39.2,Quarterly,2010-11-09,,166,13,Online,,True,0.15,False,0,False,False,1,1,False,0.03,False,,2024-06-30,v1.0
P000032,C002747,34,M,Divorced,1,UK,Mid,Term,87000.0,70.48,Quarterly,2018-03-10,,76,6,Agent,A1092,False,,False,0,False,False,0,2,False,0.05,False,,2024-06-30,v1.0
P000033,C000975,40,F,Single,0,US,Mid,Universal,169000.0,170.27,Annual,2022-08-24,,22,1,Online,,False,,True,1,False,False,0,2,False,-0.06,False,,2024-06-30,v1.0
P000034,C001806,47,F,Single,0,UK,Mid,Term,227000.0,129.82,Quarterly,2015-05-02,,111,9,Agent,A1089,True,0.21,True,2,True,False,1,0,False,-0.04,False,,2024-06-30,v1.0
P000035,C000189,52,F,Divorced,1,FR,High,Universal,386000.0,334.62,Annual,2023-09-15,,9,0,Bank,,False,,False,0,False,False,2,0,False,-0.01,False,,2024-06-30,v1.0
P000036,C002734,42,F,Married,0,US,Mid,Universal,163000.0,184.68,Monthly,2017-06-27,,85,7,Agent,A1093,False,,False,0,False,False,0,0,False,0.14,False,,2024-06-30,v1.0
P000037,C000562,34,M,Widowed,2,DE,Mid,Term,337000.0,202.78,Monthly,2014-12-26,,115,9,Online,,False,,False,0,False,False,1,0,False,-0.04,False,,2024-06-30,v1.0
P000038,C001899,55,M,Single,1,US,Mid,Whole,59000.0,73.49,Annual,2021-06-30,,36,3,Online,,True,0.25,True,1,True,False,0,0,True,-0.09,False,,2024-06-30,v1.0
P000039,C001267,53,F,Single,0,FR,Low,Universal,65000.0,67.4,Quarterly,2019-05-07,,62,5,Employer,,False,,True,0,False,False,0,2,False,0.01,False,,2024-06-30,v1.0
P000040,C002879,34,M,Married,1,IT,Mid,Whole,209000.0,305.2,Monthly,2015-07-29,,108,9,Agent,A1064,False,,False,0,False,False,0,0,False,-0.01,False,,2024-06-30,v1.0
P000041,C001528,61,M,Married,1,US,Mid,Term,312000.0,153.3,Annual,2017-10-05,,82,6,Employer,,False,,False,0,False,False,2,0,True,0.1,False,,2024-06-30,v1.0
P000042,C000646,59,F,Married,0,US,Mid,Universal,120000.0,107.89,Annual,2018-10-23,,69,5,Bank,,False,,False,0,False,False,0,1,False,0.05,False,,2024-06-30,v1.0
P000043,C002068,46,M,Married,1,US,High,Term,122000.0,92.24,Monthly,2018-12-02,,67,5,Online,,False,,False,0,False,False,1,1,True,0.05,False,,2024-06-30,v1.0
P000044,C002888,45,M,Single,1,US,Mid,Term,196000.0,117.72,Quarterly,2023-02-27,,16,1,Bank,,False,,False,0,False,False,0,1,False,0.07,False,,2024-06-30,v1.0
P000045,C002214,51,M,Married,1,US,Low,Universal,128000.0,123.13,Quarterly,2018-12-17,,67,5,Online,,True,0.07,True,1,False,True,0,1,False,0.14,False,,2024-06-30,v1.0
P000046,C001297,34,M,Married,2,DE,Mid,Term,401000.0,350.74,Monthly,2010-01-30,,175,14,Agent,A1060,False,,False,0,False,False,0,0,False,0.01,False,,2024-06-30,v1.0
P000047,C002435,45,F,Married,2,US,High,Whole,225000.0,233.21,Quarterly,2020-06-03,,49,4,Online,,True,0.08,False,0,False,False,0,1,False,-0.07,False,,2024-06-30,v1.0
P000048,C000600,19,F,Married,0,US,Mid,Term,839000.0,528.41,Annual,2018-11-09,,68,5,Agent,A1039,False,,False,0,False,False,0,2,False,-0.02,False,,2024-06-30,v1.0
P000049,C002363,55,F,Married,1,DE,,Whole,234000.0,344.76,Quarterly,2011-06-13,,158,13,Online,,True,0.15,True,1,False,False,0,1,True,0.09,False,,2024-06-30,v1.0
P000050,C002061,26,F,Single,1,DE,Mid,Term,115000.0,60.2,Quarterly,2017-08-25,,83,6,Agent,A1090,True,0.07,False,0,False,False,2,0,True,0.18,False,,2024-06-30,v1.0
P000051,C000241,63,M,Single,1,US,Low,Term,160000.0,122.6,Monthly,2014-02-11,,126,10,Agent,A1068,False,,False,0,False,False,0,0,False,0.07,False,,2024-06-30,v1.0
P000052,C002041,41,M,Married,1,DE,Low,Term,323000.0,203.82,Quarterly,2012-03-11,,149,12,Online,,False,,True,2,False,False,0,0,False,0.07,False,,2024-06-30,v1.0
P000053,C002824,42,M,Single,2,ES,Mid,Term,134000.0,111.33,Monthly,2012-01-24,,151,12,Agent,A1075,False,,False,0,False,False,0,1,False,0.03,False,,2024-06-30,v1.0
P000054,C002612,37,M,Married,1,US,Low,Term,21000.0,15.57,Monthly,2020-08-11,,47,3,Agent,A1039,False,,True,0,True,True,1,0,False,0.14,False,,2024-06-30,v1.0
P000055,C002945,41,U,Divorced,1,US,Mid,Term,108000.0,95.42,Monthly,2012-02-11,,150,12,Online,,True,0.09,False,0,False,False,0,0,False,0.04,False,,2024-06-30,v1.0
P000056,C001363,62,F,Married,1,DE,High,Universal,30000.0,32.1,Quarterly,2022-08-18,,22,1,Agent,A1057,True,0.15,False,0,False,False,0,0,False,-0.08,False,,2024-06-30,v1.0
P000057,C002139,18,M,Single,1,DE,Mid,Term,215000.0,170.68,Monthly,2013-04-30,,135,11,Online,,False,,False,0,False,False,1,0,False,-0.06,False,,2024-06-30,v1.0
P000058,C001390,60,M,Widowed,1,US,Mid,Term,68000.0,48.0,Annual,2017-12-10,,79,6,Agent,A1066,False,,False,0,False,False,1,0,False,-0.02,False,,2024-06-30,v1.0
P000059,C001478,49,M,Single,1,US,Mid,Term,155000.0,104.95,Quarterly,2015-07-19,2018-10-01,39,3,Bank,,False,,True,0,False,False,1,0,False,-0.12,True,Life Event,2024-06-30,v1.0
P000060,C002556,30,M,Single,2,FR,Low,Universal,54000.0,54.49,Monthly,2017-04-27,,87,7,Agent,A1086,False,,True,1,False,False,0,0,False,0.17,False,,2024-06-30,v1.0
P000061,C000775,32,M,Married,2,ES,Mid,Whole,198000.0,219.65,Annual,2022-01-04,,30,2,Agent,A1094,True,0.21,True,3,False,False,0,1,True,0.04,False,,2024-06-30,v1.0
P000062,C000034,65,F,Married,2,FR,,Whole,237000.0,294.26,Monthly,2018-06-25,2028-01-04,116,9,Online,,False,,False,0,False,False,0,2,True,0.04,True,Price,2024-06-30,v1.0
P000063,C002253,33,F,Single,3,ES,,Term,106000.0,61.58,Quarterly,2023-01-14,2030-10-04,94,7,Online,,False,,False,0,False,False,1,0,True,0.04,True,Unknown,2024-06-30,v1.0
P000064,C001955,31,F,Married,5,UK,Low,Term,145000.0,93.83,Monthly,2021-04-25,,38,3,Agent,A1036,False,,False,0,False,False,1,0,True,0.04,False,,2024-06-30,v1.0
P000065,C001585,58,M,Married,0,IT,High,Term,46000.0,23.52,Annual,2011-10-13,,154,12,Online,,False,,False,0,False,False,1,0,False,0.08,False,,2024-06-30,v1.0
P000066,C001021,49,M,Single,1,DE,Mid,Whole,217000.0,284.92,Monthly,2015-10-15,,106,8,Bank,,False,,False,0,False,False,0,1,True,0.04,False,,2024-06-30,v1.0
P000067,C002613,33,F,Single,0,IT,Low,Term,96000.0,74.13,Monthly,2013-11-08,,129,10,Agent,A1036,False,,False,0,False,False,1,0,False,0.17,False,,2024-06-30,v1.0
P000068,C001129,47,F,Married,1,US,High,Whole,223000.0,222.36,Monthly,2024-02-07,,4,0,Agent,A1038,False,,True,0,False,False,0,0,True,0.11,False,,2024-06-30,v1.0
P000069,C001500,32,F,Married,2,FR,High,Term,138000.0,123.09,Monthly,2011-02-06,,163,13,Online,,False,,False,0,False,False,0,0,False,-0.02,False,,2024-06-30,v1.0
P000070,C000702,58,F,Single,1,US,Mid,Term,127000.0,114.12,Monthly,2016-02-29,,101,8,Bank,,True,0.19,False,0,False,False,0,1,True,-0.03,False,,2024-06-30,v1.0
P000071,C002449,57,F,Single,2,US,Mid,Term,110000.0,82.11,Monthly,2024-01-07,,5,0,Online,,False,,False,0,False,False,0,3,False,-0.04,False,,2024-06-30,v1.0
P000072,C002777,51,F,Married,0,UK,Ultra,Term,182000.0,144.14,Quarterly,2019-02-26,,65,5,Online,,False,,False,0,False,False,0,1,False,0.01,False,,2024-06-30,v1.0
P000073,C001579,49,M,Divorced,1,US,High,Term,482000.0,283.37,Annual,2018-03-21,,76,6,Agent,A1051,False,,False,0,False,False,2,1,False,0.03,False,,2024-06-30,v1.0
P000074,C000161,66,F,Single,1,US,Mid,Term,137000.0,73.41,Quarterly,2019-12-22,,55,4,Bank,,False,,True,1,False,False,1,0,False,-0.02,False,,2024-06-30,v1.0
P000075,C000201,44,M,Married,1,ES,Mid,Term,219000.0,165.29,Monthly,2019-01-31,2024-02-04,61,5,Bank,,False,,False,0,False,False,1,2,False,0.11,True,Price,2024-06-30,v1.0
P000076,C001981,30,M,Single,2,DE,Low,Whole,628000.0,781.76,Monthly,2014-02-28,,125,10,Online,,False,,True,4,False,False,0,0,False,-0.03,False,,2024-06-30,v1.0
P000077,C000995,50,F,Single,3,IT,Low,Term,199000.0,159.17,Monthly,2018-04-18,,75,6,Agent,A1023,False,,False,0,False,False,1,1,False,0.05,False,,2024-06-30,v1.0
P000078,C002317,70,M,Single,0,ES,Low,Term,254000.0,216.23,Monthly,2023-01-24,,17,1,Agent,A1065,True,0.09,False,0,False,False,1,0,True,0.05,False,,2024-06-30,v1.0
P000079,C000815,32,M,Married,0,US,Low,Term,82000.0,66.89,Quarterly,2018-09-14,,70,5,Agent,A1034,False,,False,0,False,False,0,0,False,0.06,False,,2024-06-30,v1.0
P000080,C000455,40,M,Married,2,US,Mid,Term,193000.0,115.03,Quarterly,2015-09-04,,107,8,Agent,A1097,True,0.07,True,0,False,True,1,0,False,-0.04,False,,2024-06-30,v1.0
P000081,C001275,49,M,Divorced,1,US,Low,Term,192000.0,191.75,Monthly,2022-05-17,,25,2,Agent,A1001,False,,True,2,False,False,0,1,False,0.3,False,,2024-06-30,v1.0
P000082,C001016,44,M,Married,0,UK,High,Term,520000.0,281.07,Annual,2019-06-15,,61,5,Agent,A1011,True,0.17,False,0,False,False,1,0,False,0.0,False,,2024-06-30,v1.0
P000083,C002343,33,M,Divorced,1,UK,Mid,Term,63000.0,48.54,Monthly,2020-07-10,,48,4,Agent,A1001,True,0.19,False,0,False,False,1,1,False,0.04,False,,2024-06-30,v1.0
P000084,C002767,58,M,Single,0,US,Mid,Term,687000.0,510.53,Quarterly,2018-05-05,,74,6,Employer,,False,,False,0,False,False,0,2,False,-0.16,False,,2024-06-30,v1.0
P000085,C000337,72,M,Single,2,US,Low,Whole,470000.0,599.12,Monthly,2017-06-23,,85,7,Online,,True,0.17,True,0,True,True,0,0,False,0.13,False,,2024-06-30,v1.0
P000086,C000878,47,U,Widowed,2,US,Mid,Whole,413000.0,374.01,Monthly,2013-03-24,,137,11,Online,,False,,False,0,False,False,0,1,False,-0.02,False,,2024-06-30,v1.0
P000087,C001076,34,M,Married,1,US,Low,Term,67000.0,38.1,Quarterly,2011-05-04,,160,13,Online,,False,,False,0,False,False,1,0,True,-0.01,False,,2024-06-30,v1.0
P000088,C000791,26,M,Divorced,2,US,Mid,Term,80000.0,53.16,Quarterly,2019-09-07,,58,4,Online,,False,,False,0,False,False,0,1,False,0.19,False,,2024-06-30,v1.0
P000089,C002264,48,F,Single,1,IT,Mid,Term,232000.0,184.26,Monthly,2010-04-19,,172,14,Agent,A1058,False,,False,0,False,False,0,1,False,0.14,False,,2024-06-30,v1.0
P000090,C000763,58,F,Married,1,US,Mid,Term,35000.0,22.97,Monthly,2019-07-26,,60,5,Agent,A1032,False,,True,2,False,False,0,1,False,0.09,False,,2024-06-30,v1.0
P000091,C002235,50,F,Married,2,US,Mid,Term,52000.0,42.69,Monthly,2019-08-21,,59,4,Agent,A1053,False,,False,0,False,False,1,3,False,0.13,False,,2024-06-30,v1.0
P000092,C000379,44,M,Single,1,US,Mid,Term,262000.0,213.58,Monthly,2018-10-22,,69,5,Agent,A1076,False,,False,0,False,False,1,0,True,-0.01,False,,2024-06-30,v1.0
P000093,C000492,37,F,Married,2,FR,High,Whole,483000.0,697.78,Monthly,2012-05-02,,148,12,Agent,A1030,False,,True,1,True,False,0,0,False,0.1,False,,2024-06-30,v1.0
P000094,C001180,31,F,Married,1,US,Low,Term,672000.0,512.58,Monthly,2016-07-10,,97,8,Bank,,True,0.13,False,0,False,False,0,1,False,0.07,False,,2024-06-30,v1.0
P000095,C002062,55,F,Single,1,US,Ultra,Whole,166000.0,206.71,Monthly,2020-02-13,,53,4,Agent,A1018,False,,False,0,False,False,0,0,False,0.04,False,,2024-06-30,v1.0
P000096,C000064,55,F,Single,3,UK,Mid,Whole,114000.0,160.67,Monthly,2022-12-08,,19,1,Agent,A1024,False,,False,0,False,False,1,0,False,0.03,False,,2024-06-30,v1.0
P000097,C002568,26,F,Single,1,IT,Mid,Whole,123000.0,158.99,Monthly,2020-07-13,,48,4,Agent,A1062,True,0.22,True,1,True,False,0,0,False,0.11,False,,2024-06-30,v1.0
P000098,C001367,64,F,Single,0,IT,Mid,Universal,206000.0,269.77,Monthly,2022-06-10,,25,2,Online,,True,0.06,True,0,True,False,1,2,True,0.12,False,,2024-06-30,v1.0
P000099,C001152,51,F,Married,1,US,Mid,Term,130000.0,83.65,Monthly,2021-07-14,,36,3,Online,,False,,True,2,True,False,1,1,False,0.05,False,,2024-06-30,v1.0
P000100,C002027,61,M,Single,1,DE,Ultra,Term,58000.0,55.0,Monthly,2012-10-01,2014-05-24,20,1,Agent,A1036,False,,True,1,False,False,1,0,False,-0.02,True,Replacement,2024-06-30,v1.0
P000101,C002695,28,F,Single,4,US,Low,Whole,303000.0,395.44,Quarterly,2011-05-03,,160,13,Agent,A1096,False,,True,1,False,False,1,1,False,-0.16,False,,2024-06-30,v1.0
P000102,C001495,28,F,Divorced,1,US,Mid,Term,73000.0,56.38,Monthly,2018-10-27,,69,5,Agent,A1042,False,,True,3,False,False,1,0,False,0.11,False,,2024-06-30,v1.0
P000103,C001162,43,M,Married,0,US,Low,Universal,253000.0,285.74,Monthly,2017-04-19,,87,7,Agent,A1002,False,,True,2,False,True,1,1,False,0.09,False,,2024-06-30,v1.0
P000104,C001522,51,U,Married,2,US,Low,Term,246000.0,156.39,Annual,2021-09-16,,33,2,Bank,,True,0.07,False,0,False,False,0,2,False,0.09,False,,2024-06-30,v1.0
P000105,C002640,66,M,Married,2,FR,Mid,Term,122000.0,93.16,Monthly,2013-07-15,,133,11,Employer,,True,0.22,False,0,False,False,0,0,False,0.09,False,,2024-06-30,v1.0
P000106,C000391,53,M,Divorced,2,ES,Low,Whole,256000.0,365.16,Quarterly,2019-08-29,2028-06-12,107,8,Online,,False,,True,1,False,False,0,3,True,-0.14,True,Price,2024-06-30,v1.0
P000107,C001698,42,F,Single,1,US,High,Term,122000.0,115.01,Monthly,2018-09-11,,70,5,Agent,A1087,False,,False,0,False,False,0,1,False,0.07,False,,2024-06-30,v1.0
P000108,C000418,32,M,Married,0,US,Mid,Term,143000.0,105.17,Quarterly,2019-06-15,,61,5,Agent,A1002,True,0.25,True,1,False,False,0,0,False,0.01,False,,2024-06-30,v1.0
P000109,C002336,59,M,Married,0,US,Mid,Universal,61000.0,72.75,Monthly,2023-05-18,,13,1,Bank,,False,,False,0,False,False,0,0,False,-0.04,False,,2024-06-30,v1.0
P000110,C000378,33,M,Single,1,UK,Low,Term,14000.0,8.99,Monthly,2017-02-19,,89,7,Agent,A1076,False,,False,0,False,False,0,3,False,0.14,False,,2024-06-30,v1.0
P000111,C001796,64,M,Married,0,IT,Low,Term,137000.0,96.5,Monthly,2015-06-07,,110,9,Agent,A1056,False,,False,0,False,False,2,2,False,0.06,False,,2024-06-30,v1.0
P000112,C002278,41,M,Widowed,0,IT,High,Term,75000.0,49.94,Annual,2014-04-29,,123,10,Online,,False,,True,2,False,True,0,2,False,0.08,False,,2024-06-30,v1.0
P000113,C002088,64,M,Widowed,1,UK,Mid,Term,82000.0,56.6,Quarterly,2012-11-05,,141,11,Agent,A1093,True,0.23,True,1,False,True,1,5,False,0.01,False,,2024-06-30,v1.0
P000114,C002182,53,M,Single,1,US,Low,Term,79000.0,64.26,Monthly,2015-09-13,,107,8,Agent,A1068,True,0.07,False,0,False,False,0,0,False,0.14,False,,2024-06-30,v1.0
P000115,C000200,43,U,Single,1,FR,Low,Term,292000.0,165.35,Quarterly,2020-12-27,2024-11-06,47,3,Online,,True,0.13,False,0,False,False,0,1,False,0.02,True,Price,2024-06-30,v1.0
P000116,C001863,38,U,Widowed,0,US,,Term,319000.0,255.61,Monthly,2017-07-30,,84,7,Online,,False,,False,0,False,False,1,1,False,-0.04,False,,2024-06-30,v1.0
P000117,C000779,40,M,Married,2,ES,,Universal,190000.0,273.63,Monthly,2012-08-31,,144,12,Online,,False,,False,0,False,False,0,2,False,0.06,False,,2024-06-30,v1.0
P000118,C002977,50,F,Single,0,US,High,Whole,167000.0,191.59,Monthly,2012-08-23,,144,12,Employer,,True,0.21,True,1,False,True,0,2,False,0.06,False,,2024-06-30,v1.0
P000119,C000502,45,M,Married,0,UK,Mid,Whole,265000.0,365.34,Monthly,2017-02-27,,89,7,Agent,A1062,False,,True,1,False,False,1,1,False,-0.05,False,,2024-06-30,v1.0
P000120,C002454,37,M,Single,3,US,Mid,Term,324000.0,213.45,Quarterly,2023-08-24,,10,0,Employer,,False,,False,0,False,False,0,1,True,0.11,False,,2024-06-30,v1.0
P000121,C001751,43,M,Single,3,US,High,Term,480000.0,380.71,Quarterly,2014-11-24,,116,9,Agent,A1039,True,0.24,False,0,False,False,0,3,True,-0.06,False,,2024-06-30,v1.0
P000122,C000804,45,U,Divorced,1,UK,Low,Whole,124000.0,137.45,Annual,2015-10-23,2019-10-02,48,4,Agent,A1083,False,,False,0,False,False,0,0,True,0.1,True,Life Event,2024-06-30,v1.0
P000123,C002146,19,F,Single,2,DE,Mid,Whole,73000.0,73.52,Annual,2022-12-02,,19,1,Bank,,False,,False,0,False,False,2,3,False,-0.01,False,,2024-06-30,v1.0
P000124,C002731,50,M,Single,1,FR,Mid,Term,186000.0,127.32,Monthly,2013-06-19,2017-12-25,55,4,Agent,A1093,False,,False,0,False,False,0,0,False,0.1,True,Life Event,2024-06-30,v1.0
P000125,C001895,33,M,Single,1,UK,Low,Term,43000.0,32.18,Quarterly,2022-06-19,,24,2,Agent,A1069,False,,False,2,False,False,0,0,False,0.08,False,,2024-06-30,v1.0
P000126,C002773,31,M,Married,1,US,Mid,Term,182000.0,107.89,Annual,2024-02-23,,4,0,Agent,A1016,False,,True,3,True,False,0,0,False,0.07,False,,2024-06-30,v1.0
P000127,C001570,24,F,Single,2,IT,Mid,Term,175000.0,150.79,Annual,2017-01-22,,90,7,Agent,A1052,False,,False,0,False,False,2,0,False,0.04,False,,2024-06-30,v1.0
P000128,C000960,23,F,Married,0,FR,Mid,Whole,191000.0,259.07,Monthly,2019-12-19,,55,4,Online,,False,,True,1,True,True,1,0,False,-0.0,False,,2024-06-30,v1.0
P000129,C002660,28,M,Married,1,US,Mid,Term,525000.0,354.87,Annual,2020-09-30,,45,3,Online,,False,,False,0,False,False,1,0,False,0.07,False,,2024-06-30,v1.0
P000130,C001485,36,F,Divorced,2,FR,Mid,Term,158000.0,88.48,Monthly,2015-04-12,,112,9,Online,,True,0.07,False,0,False,False,0,0,False,-0.08,False,,2024-06-30,v1.0
P000131,C002690,68,M,Single,1,ES,Mid,Whole,309000.0,418.34,Monthly,2010-03-15,,174,14,Agent,A1051,False,,True,1,False,False,1,2,False,-0.1,False,,2024-06-30,v1.0
P000132,C001028,38,F,Divorced,1,UK,Low,Term,337000.0,196.47,Monthly,2015-12-22,,103,8,Bank,,False,,False,0,False,False,1,0,False,0.13,False,,2024-06-30,v1.0
P000133,C000502,47,F,Single,3,US,Low,Whole,200000.0,208.07,Annual,2020-03-31,,51,4,Agent,A1024,False,,False,0,False,False,1,3,False,0.12,False,,2024-06-30,v1.0
P000134,C002814,49,M,Married,1,UK,Mid,Universal,114000.0,142.12,Monthly,2014-11-14,2023-01-01,99,8,Agent,A1043,False,,False,0,False,False,2,1,False,0.1,True,Life Event,2024-06-30,v1.0
P000135,C000397,46,F,Married,1,US,Low,Term,116000.0,111.9,Monthly,2022-01-19,,29,2,Agent,A1093,False,,True,0,True,False,0,0,False,-0.07,False,,2024-06-30,v1.0
P000136,C000870,44,F,Single,1,DE,High,Whole,282000.0,397.25,Quarterly,2017-02-01,,90,7,Bank,,False,,False,0,False,False,0,1,False,-0.0,False,,2024-06-30,v1.0
P000137,C002842,30,M,Married,1,UK,High,Term,188000.0,148.12,Monthly,2023-07-04,,12,1,Bank,,False,,False,0,False,False,1,0,False,-0.03,False,,2024-06-30,v1.0
P000138,C000392,62,M,Single,1,IT,Low,Term,497000.0,456.35,Monthly,2013-05-05,,135,11,Agent,A1068,False,,True,3,False,False,0,0,False,0.17,False,,2024-06-30,v1.0
P000139,C000206,66,F,Single,1,UK,High,Whole,135000.0,225.98,Monthly,2017-04-01,,88,7,Agent,A1043,False,,True,1,False,False,1,0,False,0.17,False,,2024-06-30,v1.0
